id,from,to,priority,type,shape,name,spreadType
-142810555#3,101373692,1562864504,3,highway.residential,"[671.37, 966.18]",Freystadter Weg,
-142810558#10,1454810562,1454810565,3,highway.residential,"[666.13, 963.72]",Hartriegelstraße,
-142810558#2,cluster_1363845644_254313562,1363846009,3,highway.residential,"[660.09, 960.76]",Hartriegelstraße,
-142810558#4,1363846988,cluster_1363845644_254313562,3,highway.residential,"[689.95, 993.9]",Hartriegelstraße,
-142810578#0,150741197,150740434,3,highway.residential,"[664.2, 981.25]",Wünschelburger Gang,
-142810578#1,1562864461,150741197,3,highway.residential,"[660.5, 979.44]",Wünschelburger Gang,
-143308493#0,5383645781,cluster_1560225008_671564380,3,highway.residential,"[120.34, 1227.59]",Erich-Thilo-Straße,
-143308493#2,671564363,671564384,3,highway.residential,"[78.32, 1189.36]",Erich-Thilo-Straße,
-143308497#0,1568241740,38918306,1,highway.service,"[69.74, 1172.48]",,
-143308497#1,4131359518,1568241740,1,highway.service,"[92.43, 1021.8]",,
-143308505#0,1568241433,1560223947,4,highway.unclassified,"[239.5, 1335.75]",Gustav-Kirchhoff-Straße,
-143308505#3,1560223728,1568241390,4,highway.unclassified,"[126.96, 1233.51]",Gustav-Kirchhoff-Straße,
-143308521#0,2177702825,10294012684,4,highway.unclassified,"[120.34, 1227.59]",Johann-Hittorf-Straße,
-143308521#2,664166095,1568241686,4,highway.unclassified,"[351.53, 1438.0]",Johann-Hittorf-Straße,
-143308521#3,1560224328,664166095,4,highway.unclassified,"[480.8, 1555.5]",Johann-Hittorf-Straße,
-143308521#4,1560224356,1560224328,4,highway.unclassified,"[428.99, 1508.35]",Johann-Hittorf-Straße,
-143308521#5,1560224368,1560224356,4,highway.unclassified,"[416.05, 1496.63]",Johann-Hittorf-Straße,
-143308521#9,cluster_664166124_664166125_664166127,1682009714,4,highway.unclassified,"[364.41, 1449.57]",Johann-Hittorf-Straße,
-143308523#0,7249308009,94487940,3,highway.residential,"[537.54, 1606.87]",Korkedamm,
-143308523#2,3180391815,260479916,3,highway.residential,"[521.58, 1592.85]",Korkedamm,
